type_heater,number_of_bathrooms,number_of_bedrooms,number_of_rooms,number_stories,general_construction,taxable_land,street_code,view_type,basements,category_code,street_code,taxable_land,exterior_condition,garage_spaces,interior_condition,parcel_shape,total_area,total_livable_area,year_built,zip_code,lat,lng,market_value
A,2.0,3.0,6.0,3.0,F ,48900.0,54160.0,I,A,1,54160.0,48900.0,2.0,0.0,2.0,E,1192.0,2160.0,1917.0,19148,39.91520525869066,75.16734629217612,244500.0
A,2.0,3.0,6.0,3.0,C ,27580.0,34400.0,I,A,1,34400.0,27580.0,1.0,0.0,1.0,E,755.0,1677.0,2023.0,19125,39.973050191760514,75.12445952638053,137900.0
N,3.0,5.0,10.0,3.0,A ,90160.0,52060.0,I,K,1,52060.0,90160.0,4.0,0.0,4.0,B,10945.0,3886.0,1996.0,19128,40.03155059208724,75.21728341346233,450800.0
A,3.0,3.0,7.0,2.0,H ,178740.0,29204.0,C,F,1,29204.0,178740.0,4.0,2.0,3.0,A,15588.0,2640.0,1988.0,19118,40.05912590167021,75.21506546674495,893700.0
B,3.0,6.0,10.0,2.0,H ,157400.0,43660.0,I,A,1,43660.0,157400.0,2.0,0.0,2.0,E,11448.0,3935.0,1925.0,19119,40.047432327622616,75.18822173293731,787000.0
A,2.0,5.0,8.0,2.0,A ,38760.0,88000.0,I,C,1,88000.0,38760.0,4.0,0.0,4.0,E,928.0,1680.0,1925.0,19148,39.91845518708581,75.1641666892166,193800.0
H,1.0,3.0,6.0,2.0,A ,24620.0,18520.0,I,C,1,18520.0,24620.0,4.0,0.0,5.0,E,700.0,927.0,1923.0,19146,39.931981555062585,75.17391016180568,123100.0
A,3.0,3.0,6.0,2.0,A ,57000.0,33900.0,I,A,1,33900.0,57000.0,4.0,0.0,2.0,E,672.0,1000.0,1923.0,19145,39.93203298262221,75.18292260869988,285000.0
A,2.0,3.0,6.0,2.0,H ,102000.0,53660.0,I,D,1,53660.0,102000.0,2.0,0.0,2.0,E,1520.0,1620.0,1925.0,19125,39.97015146205469,75.13172720796865,510000.0
A,1.0,3.0,6.0,2.0,A ,16300.0,76780.0,I,C,1,76780.0,16300.0,4.0,0.0,4.0,E,708.0,972.0,1920.0,19145,39.92947712488631,75.18661290098991,81500.0
A,3.0,3.0,6.0,3.0,B ,126260.0,88140.0,I,A,1,88140.0,126260.0,1.0,0.0,1.0,E,1635.0,3360.0,2021.0,19146,39.93430183595847,75.17435639103276,631300.0
A,2.0,2.0,5.0,2.0,A ,29920.0,45100.0,I,A,1,45100.0,29920.0,4.0,0.0,2.0,E,750.0,1038.0,1925.0,19148,39.91987953838005,75.16807366376422,149600.0
A,2.0,3.0,6.0,2.0,A ,57420.0,42140.0,I,E,1,42140.0,57420.0,4.0,1.0,3.0,E,1451.0,1152.0,1960.0,19128,40.02277932707934,75.21049451370168,287100.0
A,1.0,3.0,6.0,2.0,A ,20120.0,76720.0,I,C,1,76720.0,20120.0,4.0,0.0,4.0,E,1115.0,1440.0,1923.0,19145,39.9328362067109,75.18796193923589,100600.0
A,1.0,3.0,6.0,2.0,5 ,57400.0,61000.0,I,A,1,61000.0,57400.0,3.0,0.0,2.0,E,910.0,1106.0,1920.0,19146,39.93802813747,75.1876671583874,287000.0
A,1.0,3.0,6.0,2.0,A ,5960.0,30800.0,I,C,1,30800.0,5960.0,7.0,0.0,7.0,E,1200.0,1080.0,1920.0,19142,39.93037104275649,75.22960646849066,29800.0
A,1.0,3.0,6.0,2.0,A ,42700.0,88140.0,I,C,1,88140.0,42700.0,4.0,0.0,4.0,E,1080.0,1288.0,1925.0,19146,39.93316829027064,75.17415470364745,213500.0
A,1.0,3.0,6.0,2.0,A ,20560.0,72560.0,I,C,1,72560.0,20560.0,4.0,0.0,4.0,E,686.0,900.0,1925.0,19148,39.91850939679242,75.15872931289957,102800.0
A,1.0,2.0,5.0,2.0,A ,25000.0,29640.0,I,C,1,29640.0,25000.0,4.0,0.0,4.0,E,728.0,1000.0,1920.0,19148,39.91942246601307,75.15538550579146,125000.0
A,1.0,3.0,6.0,2.0,A ,14780.0,47780.0,I,C,1,47780.0,14780.0,4.0,0.0,4.0,E,1200.0,1206.0,1920.0,19142,39.92843079194081,75.23569849845151,73900.0
H,1.0,3.0,6.0,2.0,A ,17940.0,76780.0,I,C,1,76780.0,17940.0,5.0,0.0,6.0,E,681.0,1062.0,1920.0,19146,39.93487203232848,75.1854306526347,89700.0
H,1.0,3.0,6.0,2.0,A ,31500.0,87900.0,I,C,1,87900.0,31500.0,5.0,0.0,5.0,E,928.0,1500.0,1920.0,19148,39.92017876133186,75.1557644550318,157500.0
B,2.0,4.0,15.0,3.0,A ,69700.0,54280.0,I,A,2,54280.0,69700.0,2.0,0.0,2.0,E,975.0,2475.0,1915.0,19121,39.97733259399169,75.18218750238242,348900.0
A,1.0,3.0,6.0,3.0,A ,40400.0,33740.0,I,D,1,33740.0,40400.0,4.0,0.0,4.0,E,818.0,1632.0,1925.0,19146,39.93794204989887,75.17984534442107,202000.0
A,1.0,2.0,5.0,2.0,A ,35100.0,56560.0,I,F,1,56560.0,35100.0,4.0,0.0,3.0,E,658.0,784.0,1920.0,19145,39.92680138542552,75.171800576806,175600.0
H,1.0,3.0,7.0,2.0,A ,23000.0,53940.0,I,D,1,53940.0,23000.0,3.0,0.0,2.0,E,609.0,726.0,1925.0,19132,40.0034193123783,75.17470936227059,115000.0
A,1.0,3.0,6.0,2.0,A ,45820.0,33740.0,I,D,1,33740.0,45820.0,4.0,0.0,4.0,E,906.0,1384.0,1925.0,19146,39.937321005486034,75.17607182749194,229100.0
A,2.0,3.0,7.0,1.0,I ,81760.0,57440.0,I,A,1,57440.0,81760.0,3.0,1.0,1.0,E,2500.0,1666.0,2018.0,19150,40.06989537006987,75.1773289465519,408800.0
A,2.0,2.0,5.0,2.0,A ,61780.0,83180.0,I,A,1,83180.0,61780.0,4.0,0.0,2.0,E,700.0,1000.0,1923.0,19146,39.933383304580175,75.17861730528992,308900.0
A,3.0,3.0,6.0,2.0,A ,56840.0,73060.0,I,A,1,73060.0,56840.0,2.0,0.0,2.0,E,1836.0,1290.0,1950.0,19150,40.06853642687529,75.17038022288632,284200.0
H,1.0,3.0,6.0,3.0,A ,14200.0,63180.0,I,D,1,63180.0,14200.0,7.0,0.0,7.0,E,5548.0,2184.0,1930.0,19142,39.920076689750594,75.24023448181838,71000.0
A,1.0,3.0,6.0,2.0,A ,35860.0,23760.0,I,C,1,23760.0,35860.0,4.0,0.0,4.0,E,720.0,1176.0,1923.0,19146,39.932236042644654,75.17497788717925,179300.0
A,2.0,3.0,6.0,2.0,B ,52900.0,68460.0,I,A,1,68460.0,52900.0,4.0,0.0,2.0,E,728.0,920.0,1920.0,19145,39.93224627860319,75.18523302821417,264500.0
A,2.0,3.0,6.0,2.0,A ,21600.0,88410.0,I,A,1,88410.0,21600.0,4.0,0.0,2.0,E,961.0,1238.0,1925.0,19146,39.93821110969749,75.19527893474135,125900.0
A,3.0,4.0,7.0,4.0,3 ,115500.0,68814.0,I,N,1,68814.0,115500.0,1.0,2.0,1.0,E,900.0,3190.0,2020.0,19127,40.02792112030614,75.2297590186427,813900.0
B,1.0,4.0,7.0,3.0,J ,73840.0,35100.0,I,D,1,35100.0,73840.0,4.0,0.0,3.0,E,2406.0,2068.0,1900.0,19128,40.02933398132532,75.21521255625164,369200.0
A,1.0,3.0,6.0,2.0,A ,15600.0,39140.0,I,F,1,39140.0,15600.0,4.0,1.0,4.0,E,1105.0,1102.0,1920.0,19142,39.916798086820535,75.23112045390073,78400.0
A,1.0,3.0,6.0,2.0,A ,18900.0,22760.0,I,C,1,22760.0,18900.0,4.0,1.0,4.0,E,1478.0,1368.0,1920.0,19142,39.93288001567996,75.23303355843693,94800.0
A,3.0,4.0,10.0,2.0,A ,95600.0,12940.0,I,A,1,12940.0,95600.0,4.0,2.0,4.0,B,4513.0,2000.0,1925.0,19119,40.04302710209007,75.19378933477707,478000.0
A,1.0,3.0,6.0,1.0,A ,38780.0,15520.0,I,D,1,15520.0,38780.0,4.0,1.0,4.0,E,1194.0,1118.0,1955.0,19150,40.0697492495741,75.17167738009633,193900.0
A,3.0,3.0,6.0,2.0,A ,44960.0,24720.0,I,A,1,24720.0,44960.0,4.0,0.0,2.0,E,1200.0,1250.0,1925.0,19143,39.95044068136938,75.23241291187256,224800.0
G,1.0,3.0,6.0,2.0,A ,0.0,39140.0,I,G,1,39140.0,0.0,4.0,1.0,3.0,E,1105.0,1107.0,1920.0,19142,39.91725208441977,75.23047629481098,78600.0
B,2.0,4.0,8.0,3.0,A ,62400.0,42180.0,I,C,1,42180.0,62400.0,4.0,0.0,4.0,E,4460.0,2000.0,1920.0,19128,40.03684650056291,75.2177256630162,312000.0
A,1.0,3.0,6.0,2.0,A ,0.0,67940.0,I,C,1,67940.0,0.0,5.0,0.0,5.0,E,930.0,1102.0,1920.0,19142,39.930403940341485,75.23198298655404,34200.0
A,4.0,4.0,8.0,3.0,1 ,45200.0,67360.0,I,A,1,67360.0,45200.0,1.0,0.0,1.0,E,665.0,1631.0,2022.0,19122,39.98391465572662,75.14308049595455,45200.0
A,2.0,3.0,7.0,3.0,C ,186600.0,64670.0,0,K,1,64670.0,186600.0,1.0,2.0,1.0,E,3075.0,3300.0,2023.0,19145,39.90840523793209,75.19000407476847,186600.0
A,4.0,5.0,12.0,3.0,E ,136740.0,50780.0,I,A,1,50780.0,136740.0,3.0,1.0,3.0,A,13785.0,3640.0,1904.0,19119,40.04522974460218,75.19335590151279,683700.0
A,3.0,4.0,7.0,3.0,3 ,39600.0,68814.0,I,K,1,68814.0,39600.0,1.0,2.0,1.0,E,900.0,3190.0,2019.0,19127,40.02842196805537,75.23056014667566,39600.0
A,1.0,3.0,6.0,2.0,A ,5900.0,36720.0,I,C,1,36720.0,5900.0,4.0,0.0,4.0,E,945.0,1044.0,1920.0,19142,39.92446065906661,75.23392435409322,29500.0
A,2.0,3.0,6.0,2.0,A ,40520.0,12740.0,I,B,1,12740.0,40520.0,2.0,0.0,2.0,E,915.0,1224.0,1925.0,19146,39.93700133187964,75.17120949785016,202600.0
A,2.0,3.0,7.0,3.0,A ,57880.0,33740.0,I,A,1,33740.0,57880.0,2.0,0.0,2.0,E,1600.0,3076.0,1923.0,19146,39.93833528338437,75.18224330218166,289400.0
A,1.0,3.0,6.0,2.0,A ,21520.0,54520.0,I,D,1,54520.0,21520.0,4.0,0.0,4.0,E,1376.0,960.0,1915.0,19144,40.04953170738791,75.17289493975514,107600.0
A,3.0,5.0,8.0,3.0,A ,313700.0,88200.0,I,A,1,88200.0,313700.0,4.0,0.0,2.0,E,1890.0,2748.0,1800.0,19103,39.94721857057437,75.17676623528803,1568600.0
